POSTE,DATE,RR,QRR,DRR,QDRR,TN,QTN,HTN,QHTN,TX,QTX,HTX,QHTX,TM,QTM,TMNX,QTMNX,TNSOL,QTNSOL,TN50,QTN50,DG,QDG,TAMPLI,QTAMPLI,TNTXM,QTNTXM,PMERM,QPMERM,PMERMIN,QPMERMIN,FFM,QFFM,FXI,QFXI,DXI,QDXI,HXI,QHXI,FXY,QFXY,DXY,QDXY,HXY,QHXY,FF2M,QFF2M,FXI2,QFXI2,DXI2,QDXI2,HXI2,QHXI2,FXI3S,QFXI3S,DXI3S,QDXI3S,HXI3S,QHXI3S,UN,QUN,HUN,QHUN,UX,QUX,HUX,QHUX,DHUMI40,QDHUMI40,DHUMI80,QDHUMI80,TSVM,QTSVM,DHUMEC,QDHUMEC,UM,QUM,INST,QINST,GLOT,QGLOT,DIFT,QDIFT,DIRT,QDIRT,SIGMA,QSIGMA,INFRART,QINFRART,UV_INDICEX,QUV_INDICEX,NB300,QNB300,BA300,QBA300,NEIG,QNEIG,BROU,QBROU,ORAG,QORAG,GRESIL,QGRESIL,GRELE,QGRELE,ROSEE,QROSEE,VERGLAS,QVERGLAS,SOLNEIGE,QSOLNEIGE,GELEE,QGELEE,FUMEE,QFUMEE,BRUME,QBRUME,ECLAIR,QECLAIR,ETPMON,QETPMON,ETPGRILLE,QETPGRILLE,UV,QUV,TMERMAX,QTMERMAX,TMERMIN,QTMERMIN,HNEIGEF,QHNEIGEF,NEIGETOTX,QNEIGETOTX,NEIGETOT06,QNEIGETOT06
6029001,20250311,15.1,1,409.0,9.0,9.7,1,2317,9,14.6,1,1327,9,11.7,1,12.15,1,9.2,9,,,0,9,4.9,1,12.2,1,1004.6,1,1001.6,1,1.8,1,9.7,1,340,9,2028,9,5.1,1,330,9,2032,9,,,,,,,,,9.2,1,,,2028,9,75,1,846,9,96,1,303,9,0,9,1193,9,12.0,9,,,88,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,1.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,1.2,9,,,,,,,,,,,,
6029001,20250312,14.6,1,224.0,9.0,6.8,1,548,9,14.6,1,1034,9,10.3,1,10.7,1,4.3,9,,,0,9,7.8,1,10.7,1,998.4,1,996.3,1,1.3,1,7.7,1,150,1,1341,9,4.0,1,160,1,1341,9,,,,,,,,,6.8,1,,,1341,9,67,1,1015,9,98,1,403,9,0,9,1120,9,11.2,9,,,90,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,1,9,,,,,1.3,9,,,,,,,,,,,,
6029001,20250313,5.2,1,412.0,9.0,6.4,1,510,9,16.7,1,1104,9,10.5,1,11.55,1,3.4,9,,,0,9,10.3,1,11.6,1,997.9,1,995.7,1,2.3,1,10.4,1,240,1,824,9,6.9,1,220,1,952,9,,,,,,,,,9.6,1,,,859,9,45,1,1300,9,95,1,536,9,0,9,911,9,9.9,9,,,80,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,2.2,9,,,,,,,,,,,,
6029001,20250314,17.1,1,663.0,9.0,8.0,1,2317,9,14.7,1,912,9,11.0,1,11.35,1,6.8,9,,,0,9,6.7,1,11.4,1,999.6,1,996.0,1,1.5,1,6.3,1,130,1,1237,9,3.6,1,160,1,1047,9,,,,,,,,,5.8,1,,,1354,9,64,1,910,9,96,1,308,9,0,9,1035,9,11.3,9,,,87,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,1.2,9,,,,,,,,,,,,
6029001,20250315,3.2,1,104.0,9.0,10.0,1,313,9,15.0,1,1138,9,11.1,1,12.5,1,9.3,9,,,0,9,5.0,1,12.5,1,1005.4,1,1002.1,1,3.4,1,14.7,1,250,1,1912,9,8.9,1,260,9,2218,9,,,,,,,,,13.6,1,,,1913,9,48,1,2333,9,97,1,212,9,0,9,754,9,10.1,9,,,76,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,1.7,9,,,,,,,,,,,,
6029001,20250316,0.0,1,0.0,9.0,5.8,1,239,9,14.8,1,1347,9,9.4,1,10.3,1,3.4,9,,,0,9,9.0,1,10.3,1,1012.7,1,1009.3,1,6.0,1,17.3,1,240,1,1458,9,10.8,1,240,1,1448,9,,,,,,,,,16.6,1,,,1022,9,32,1,1352,9,78,1,0,9,354,9,0,9,6.0,9,,,52,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,3.4,9,,,,,,,,,,,,
6029001,20250316,0.0,1,0.0,9.0,5.8,1,239,9,14.8,1,1347,9,9.4,1,10.3,1,3.4,9,,,0,9,9.0,1,10.3,1,1012.7,1,1009.3,1,6.0,1,17.3,1,240,1,1458,9,10.8,1,240,1,1448,9,,,,,,,,,16.6,1,,,1022,9,32,1,1352,9,78,1,0,9,354,9,0,9,6.0,9,,,52,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,3.4,9,,,,,,,,,,,,
6029001,20250317,0.0,1,0.0,9.0,2.3,1,455,9,14.7,1,1349,9,8.8,1,8.5,1,0.0,9,,,0,9,12.4,1,8.5,1,1017.3,1,1016.1,1,2.4,1,7.0,1,170,1,1304,9,4.3,1,170,1,1202,9,,,,,,,,,6.8,1,,,1310,9,48,1,855,9,90,1,2303,9,0,9,622,9,8.4,9,,,74,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,2.3,9,,,,,,,,,,,,
6029001,20250318,0.2,1,11.0,9.0,5.1,1,114,9,14.5,1,1103,9,9.2,1,9.8,1,3.3,9,,,0,9,9.4,1,9.8,1,1024.2,1,1019.8,1,3.3,1,14.0,1,130,1,1120,9,6.2,1,90,1,1035,9,,,,,,,,,12.8,1,,,1121,9,50,1,1727,9,92,1,131,9,0,9,739,9,8.7,9,,,76,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,1.9,9,,,,,,,,,,,,
6029001,20250319,0.0,1,0.0,9.0,2.7,1,527,9,13.9,1,1234,9,8.4,1,8.3,1,1.4,9,,,0,9,11.2,1,8.3,1,1029.9,1,1027.7,1,3.1,1,11.3,1,110,1,1255,9,5.9,1,120,1,1150,9,,,,,,,,,9.8,1,,,1040,9,43,1,1618,9,92,1,239,9,0,9,619,9,7.3,9,,,69,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,2.4,9,,,,,,,,,,,,
6029001,20250320,0.0,1,0.0,9.0,3.9,1,335,9,15.9,1,1030,9,11.1,1,9.9,1,2.7,9,,,0,9,12.0,1,9.9,1,1028.9,1,1026.1,1,3.2,1,12.2,1,120,1,1330,9,5.9,1,100,1,1254,9,,,,,,,,,10.9,1,,,1019,9,54,1,836,9,89,1,249,9,0,9,345,9,9.1,9,,,69,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,2.4,9,,,,,,,,,,,,
6029001,20250321,6.2,1,286.0,9.0,8.1,1,122,9,16.8,1,927,9,13.9,1,12.45,1,6.5,9,,,0,9,8.7,1,12.5,1,1019.5,1,1014.8,1,4.8,1,22.0,1,50,9,1934,9,8.8,1,70,1,1640,9,,,,,,,,,17.6,1,,,1410,9,63,1,928,9,88,1,1958,9,0,9,604,9,11.9,9,,,75,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,2.3,9,,,,,,,,,,,,
6029001,20250321,6.2,1,286.0,9.0,8.1,1,122,9,16.8,1,927,9,13.9,1,12.45,1,6.5,9,,,0,9,8.7,1,12.5,1,1019.5,1,1014.8,1,4.8,1,22.0,1,50,9,1934,9,8.8,1,70,1,1640,9,,,,,,,,,17.6,1,,,1410,9,63,1,928,9,88,1,1958,9,0,9,604,9,11.9,9,,,75,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,2.3,9,,,,,,,,,,,,
6029001,20250322,25.3,1,256.0,9.0,12.9,1,601,9,15.0,1,1205,9,13.4,1,13.95,1,11.3,9,,,0,9,2.1,1,14.0,1,1010.4,1,1004.1,1,2.9,1,15.8,1,70,9,2005,9,7.7,1,70,9,1957,9,,,,,,,,,13.6,1,,,2010,9,66,1,1605,9,95,1,2349,9,0,9,795,9,12.4,9,,,81,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,1.5,9,,,,,,,,,,,,
6029001,20250323,15.7,1,352.0,9.0,6.9,1,554,9,15.5,1,1131,9,11.7,1,11.2,1,5.0,9,,,0,9,8.6,1,11.2,1,1008.5,1,1005.0,1,2.3,1,9.6,1,270,1,44,9,4.8,1,320,1,50,9,,,,,,,,,8.4,1,,,44,9,57,1,1103,9,97,1,447,9,0,9,971,9,11.3,9,,,83,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,2.0,9,,,,,,,,,,,,
6029001,20250324,0.0,1,0.0,9.0,8.9,1,629,9,16.2,1,1006,9,11.8,1,12.55,1,7.0,9,,,0,9,7.3,1,12.6,1,1013.4,1,1010.2,1,2.0,1,8.0,1,160,1,1438,9,4.5,1,150,1,1421,9,,,,,,,,,6.9,1,,,1442,9,55,1,1019,9,95,1,241,9,0,9,854,9,11.2,9,,,82,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,2.2,9,,,,,,,,,,,,
6029001,20250325,0.0,1,,,5.6,1,502,9,18.1,1,1244,9,11.7,1,11.85,1,5.1,9,,,0,9,12.5,1,11.9,1,1016.6,1,1015.8,1,2.3,1,6.6,1,180,1,1325,9,4.7,1,180,1,1309,9,,,,,,,,,6.2,1,,,1231,9,46,1,1458,9,91,1,219,9,0,9,646,9,9.8,9,,,73,1,,,,,,,,,,,,,,,,,,,,,0,9,,,,,,,,,,,,,,,0.0,9.0,0,9,,,,,3.0,9,,,,,,,,,,,,
6029001,20250326,0.0,1,,,7.3,1,136,9,18.9,1,1431,9,12.9,1,13.1,1,5.9,9,,,0,9,11.6,1,13.1,1,1014.0,1,1012.5,1,2.4,1,7.6,1,140,1,1438,9,5.2,1,200,1,1418,9,,,,,,,,,7.0,1,,,1438,9,46,1,1436,9,91,1,151,9,0,9,662,9,10.6,9,,,73,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,,,,,,,,,,,,,,,0.0,9.0,0,9,,,,,3.2,9,,,,,,,,,,,,
